id,company,productName,salesPrice,tags
764,ENCHANTE ACCESSORIES INC.,Body Luxuries French Lavender Waterless Anti-bacterial Hand Sanitizer,983.17,health
765,State of Florida DOH Central Pharmacy,Risperidone,600.84,medicine
766,"Genentech, Inc.",CellCept,444.3,health
767,"PD-Rx Pharmaceuticals, Inc.",Methocarbamol,890.43,pharmacy
768,"Nelco Laboratories, Inc.",Orange Pollen,457.84,medicine
769,HOMEOLAB USA INC.,BORAX,402.91,medicine
770,United Airlines,United Airlines Business Class Kit,569.71,medicine
771,North Safety Products,HYDROCORTISONE,553.41,pharmacy
772,"KPSS, Inc.",Head Remedy Dandruff Conditioner,533.81,medicine
773,Bayer HealthCare Pharmaceuticals Inc.,Adalat CC,987.63,medicine
774,Cardinal Health,Depakote,912.25,health
775,H E B,In Control Nicotine,91.62,medicine
776,Rite Aid,Therapeutic,936.74,pharmacy
777,"Deb USA, Inc.",Aero IQ Antibacterial Quat,156.95,health
778,"Galderma Laboratories, L.P.",Cetaphil,483.08,health
779,"Physicians Total Care, Inc.",PREVPAC,687.56,medicine
780,"Physicians Total Care, Inc.",Diltiazem Hydrochloride,65.24,pharmacy
781,"Cephalon, Inc.",FENTORA,162.96,health
782,West-Ward Pharmaceutical Corp,Fluconazole,701.96,medicine
783,Qualitest Pharmaceuticals,Lisinopril,501.81,pharmacy
784,"Noven Therapeutics, LLC",Minivelle,359.42,medicine
785,AvPAK,Trimethoprim,189.44,health
786,"Rising Pharmaceuticals, Inc.",CARISOPRODOL,903.74,health
787,"NCS HealthCare of KY, Inc dba Vangard Labs",Pravastatin Sodium,844.01,pharmacy
788,Rite Aid Corporation,Childrens Ibuprofen,500.82,pharmacy
789,REMEDYREPACK INC.,SELZENTRY,986.0,pharmacy
790,"Alcon Laboratories, Inc.",CIPRO,591.31,medicine
791,"Meridian Medical Technologies, Inc.",Morphine Sulfate,412.63,pharmacy
792,Bryant Ranch Prepack,Omeprazole,198.57,pharmacy
793,Bare Escentuals Beauty Inc.,Ready Foundation,179.59,medicine
794,Kroger Company,Allergy,311.68,medicine
795,"Bliss World, LLC",LABORATOIRE REMEDE TRANSLUCENT UV COAT TINT 2,820.32,medicine
796,Rebel Distributors Corp,benzonatate,868.92,medicine
797,"Lupin Pharmaceuticals, Inc.",rifabutin,157.75,pharmacy
798,"Watson Laboratories, Inc.",Verapamil Hydrochloride,456.38,health
799,"Albion Co., Ltd",PAUL AND JOE SILKY SMOOTH FOUNDATION UV 301,268.2,health
800,Apotheca Company,Stomaplex,345.42,pharmacy
801,JAFRA COSMETICS INTERNATIONAL,HYDRATION DYNAMICS MOISTURE REPLENISHMENT,37.02,health
802,"Church & Dwight Co., Inc.",Dental Care Advance Cleaning,480.32,medicine
803,LUMENE OY,Lumene Bright Now Visible Repair Day SPF 15 Sunscreen Broad Spectrum,476.54,medicine
804,Alaven Pharmaceutical LLC,Proctofoam,177.23,health
805,"Antigen Laboratories, Inc.",Bakers Yeast,172.28,health
806,Northstar RxLLC,Tramadol Hydrochloride,63.26,pharmacy
807,Sagent Pharmaceuticals,Topotecan Hydrochloride,949.41,medicine
808,Blistex Inc,Stridex,570.79,health
809,"Owen Biosciences, Inc.",Anhydrous SPF 30,486.38,medicine
810,"Exelixis, Inc.",COMETRIQ,914.32,health
811,Topco Associates LLC (Top Care),Pain Relief PM,531.42,medicine
812,"Physicians Total Care, Inc.",Glipizide and Metformin Hydrochloride,837.61,pharmacy
813,"Concept Laboratories, Inc.",MyOmega,617.45,pharmacy
814,Rite Aid Corporation,acid reducer,227.23,medicine
815,"Nelco Laboratories, Inc.",Loblolly Pine,172.69,health
816,"Allergy Laboratories, Inc.",GRAPE,36.82,medicine
817,Health and Natural Beauty USA Corp,SprinJene,41.77,medicine
818,"Hospira, Inc.",Heparin Sodium,898.32,health
819,SCA Tissue North America,Tork Hand Sanitizer Alcohol Free Foam,660.72,health
820,Dr. Reddy's Laboratories Limited,Zonisamide,297.61,health
821,West-Ward Pharmaceutical Corp,Doxycycline,534.0,medicine
822,"General Injectables & Vaccines, Inc",Neo-Synephrine,69.28,medicine
823,"Allergy Laboratories, Inc.",SUDAN GRASS POLLEN,217.81,health
824,"Johnson & Johnson Consumer Products Company, Division of Johnson & Johnson Consumer Companies, Inc.",Neosporin Original,660.89,health
825,Perrigo New York Inc,Erythromycin-Benzoyl Peroxide,924.95,medicine
826,"MedVantx, Inc.",Fluoxetine,35.32,health
827,EnviroKleen LLC,Envirokleen Non-Alcohol Instant Hand Sanitizer,408.29,health
828,Safeway,Sinus Headache PE,85.68,pharmacy
829,"Deseret Biologicals, Inc.",Energize RXS,427.26,pharmacy
830,"BayCare Home Care, Inc.",Oxygen,754.56,pharmacy
831,"Sun & Skin Care Research, Inc",OP Protective Spray Gel 8,149.29,health
832,Zydus Pharmaceuticals (USA) Inc.,ropinirole hydrochloride,87.42,health
833,"Physicians Total Care, Inc.",Tussin CF,682.72,pharmacy
834,Kroger Co,Waterless Hand Sanitizer,534.76,health
835,Supervalu Inc,equaline naproxen sodium,860.11,medicine
836,Shionogi Inc.,Keflex,704.12,health
837,"Meijer Distribution, Inc",Meijer Honey Lemon Cough Drops,644.53,medicine
838,Rebel Distributors Corp,Banalg,378.07,pharmacy
839,A-S Medication Solutions LLC,Nuvigil,494.86,health
840,"Jets, Sets, & Elephants Beauty Corp.",Anti-bacterial Hand,335.34,medicine
841,HOMEOLAB USA INC,MERCURIUS VIVUS,597.06,pharmacy
842,Cadila Healthcare Limited,Etodolac,378.37,health
843,"TAI GUK PHARM. CO., LTD.",WESTERN FAMILY DIAPER RASH,219.41,medicine
844,"Physicians Total Care, Inc.",Astelin,916.31,pharmacy
845,PUREMEDY,BABY SKIN,380.35,medicine
846,"Humanwell PuraCap Pharmaceutical (Wuhan), Ltd.",DayTime Cold and Flu,49.08,pharmacy
847,A-S Medication Solutions LLC,TYLENOL with Codeine,32.76,health
848,Coria Laboratories,Cloderm,138.21,medicine
849,"DOLGENCORP, LLC",Healing for Babies,874.14,health
850,"Allermed Laboratories, Inc.",Common Sage Pollen,589.58,pharmacy
851,Cornerstone Therapeutics Inc.,BETHKIS,396.65,medicine
852,Ranbaxy Pharmaceuticals Inc.,Quinapril Hydrochloride and Hydrochlorothiazide,868.05,pharmacy
853,Unit Dose Services,Amlodipine Besylate,596.07,pharmacy
854,"Physicians Total Care, Inc.",Lotrel,784.18,medicine
855,Natural Health Supply,RHEUMATIC PAINS,718.46,medicine
856,"ALK-Abello, Inc.",AMBROSIA TENUIFOLIA POLLEN,730.14,medicine
857,Sandoz Inc,L-Cysteine Hydrochloride,255.35,medicine
858,"Liberty Pharmaceuticals, Inc.",Hydroxyzine Hydrochloride,274.76,pharmacy
859,A-S Medication Solutions LLC,Ciprofloxacin,968.38,health
860,Perrigo New York Inc,bisacodyl,574.93,medicine
861,Landy International,Hand Sanitizer,71.54,medicine
862,"Novartis Consumer Health, Inc.",Maalox Advanced Maximum Strength,299.05,pharmacy
863,Creative Cosmetics Inc. dba CCI,Rocky Mountain Sunscreen,360.21,medicine
864,"Napoleon Perdis Cosmetics, Inc",napoleon PERDIS FOUNDATION STICK BROAD SPECTRUM SPF 15 Look 2B,414.7,health
865,Mission Pharmacal Company,Avar-e LS,189.13,pharmacy
866,INNOVATION SPECIALTIES,SPF 30 Sunscreen Tottle,28.77,health
867,West-Ward Pharmaceutical Corp,Ceftriaxone,117.58,medicine
868,GM Pharmaceuticals,VANACOF,758.44,medicine
869,Mylan Institutional Inc.,Simvastatin,429.28,pharmacy
870,"ALK-Abello, Inc.",RHIZOPUS ARRHIZUS VAR ARRHIZUS,698.44,health
871,"Nelco Laboratories, Inc.",Para Grass Pollen,387.13,pharmacy
872,Shasun Pharmaceuticals Limited,Ibuprofen,467.47,health
873,"Aphena Pharma Solutions - Tennessee, LLC",Naproxen,37.17,medicine
874,"Avon Products, Inc",Moisture Therapy,485.31,health
875,"Fenwal, Inc.",ADSOL Red Cell Preservation Solution System in Plastic Container (PL 146 Plastic),586.05,pharmacy
876,"Novel Laboratories, Inc.",Nitrofurantoin Oral Suspension,61.01,pharmacy
877,"Trigen Laboratories, LLC",Metoprolol Tartrate and Hydrochlorothiazide,611.07,health
878,King Bio Inc.,Stress Control,961.05,medicine
879,ALILY (ZHANGZHOU) BATH PRODUCTS LTD.,Rue 21 Asian Spice Anti-Bacterial Hand Sanitizer,532.55,medicine
880,"Syzygy Healthcare Solutions, LLC",AfterPill,206.01,medicine
881,"Wyeth Pharmaceuticals Inc., a subsidiary of Pfizer Inc.",Zosyn,809.61,medicine
882,"SJ Creations, Inc.",Orange Clove Antibacterial Foaming Hand Wash,12.47,medicine
883,"Wal-Mart Stores, Inc",Citroma,773.7,pharmacy
884,SHISEIDO AMERICAS CORPORATION,CLE DE PEAU BEAUTE REFRESHING PROTECTIVE I,281.88,medicine
885,BioActive Nutritional,FNG II,503.0,health
886,Chain Drug Marketing Association Inc.,Pseudoephedrine Hydrochloride,957.46,medicine
887,"Hospira, Inc.",Normosol-M and Dextrose,14.28,health
888,"Nelco Laboratories, Inc.",Birch,343.22,health
889,Mylan Pharmaceuticals Inc.,Hydralazine Hydrochloride,302.9,pharmacy
890,"Teva Parenteral Medicines, Inc",Toposar,159.62,pharmacy
891,"Shanghai Yinjing Medical Supplies Co., Ltd.",POVIDONE-IODINE SWABSTICK,67.23,health
892,JAFRA COSMETICS INTERNATIONAL,JAFRA DAILY,12.28,health
893,American Health Packaging,Lovastatin,807.49,medicine
894,Contract Pharmacy Services-PA,Alprazolam,437.93,medicine
895,"General Injectables & Vaccines, Inc",Gentamicin,682.35,medicine
896,Energetix Corp,Rescue Calm,64.04,pharmacy
897,"Diversey, Inc.",Soft Care Neutra Germ Antibacterial,828.92,medicine
898,"ALK-Abello, Inc.",ACER SACCHARUM POLLEN,132.75,medicine
899,Eduard Gerlach GmbH,Gehwol med Foot,808.0,health
900,"Nelco Laboratories, Inc.",American Elm,107.73,medicine
901,"Amercare Products, Inc.",AMERFRESH ANTIBACTERIAL DEODORANT,468.94,health
902,Physicians Formula Inc,Mineral Wear Talc-Free Illuminating Powder Duo,331.18,health
903,DefyAging.com Inc.,Recapture,215.43,pharmacy
904,REMEDYREPACK INC.,Hydrocodone Bitartrate and Acetaminophen,836.36,pharmacy
905,Novo Nordisk,Norditropin,466.05,medicine
906,RedPharm Drug Inc.,Amoxicillin,450.34,health
907,"AvKARE, Inc.",Modafinil,151.45,pharmacy
908,KAISER FOUNDATION HOSPITALS,Pyridostigmine Bromide,379.61,medicine
909,Rebel Distributors Corp,isosorbide mononitrate,955.42,medicine
910,Sanum Kehlbeck GmbH & Co. KG,Pleo Art U,843.18,medicine
911,Blue Cross Laboratories,Body Guard,447.86,pharmacy
912,The Kroger Co.,TRIPLE ANTIBIOTIC,394.12,pharmacy
913,Camber Pharmaceuticals,Topiramate,385.37,medicine
914,"Preferred Pharmaceuticals, Inc",Cheratussin AC,474.82,health
915,"Novartis Consumer Health, Inc.",LAMISIL,691.65,medicine
916,Bare Escentuals Beauty Inc.,bareMinerals READY Touch Up Veil Broad Spectrum SPF 15,445.69,health
917,Guna spa,GUNA-IL 5,668.06,medicine
918,"Aldi, Inc",welby health antacid,849.19,medicine
919,Target Corporation,Up and Up anti diarrheal,324.81,health
920,"Hospira, Inc.",Vecuronium Bromide,150.36,pharmacy
921,DZA Brands LLC,Healthy Accents nighttime,20.58,medicine
922,Natural Health Supply,Cough,570.65,medicine
923,"Allergy Laboratories, Inc.",PEACH,88.73,health
924,Sagent Pharmaceticals,Heparin Sodium,409.61,pharmacy
925,Home Sweet Homeopathics,Sore Nipples,670.1,medicine
926,"Antigen Laboratories, Inc.",Treatment Set TS344801,63.86,health
927,lix Super Markets Inc,Publix Alcohol,89.98,health
928,"Physicians Total Care, Inc.",Ciprofloxacin,889.03,medicine
929,"OMP, INC.",Obagi 360 HydraFactor Moisturizing Broad Spectrum SPF 30,542.41,pharmacy
930,COSTCO WHOLESALE CORPORATION,Mucus Relief,872.28,medicine
931,Bryant Ranch Prepack,Pravastatin Sodium,473.15,medicine
932,"KC Pharmaceuticals, Inc.",Eye Drops Advanced Relief,760.67,medicine
933,"Inlight Creation, LLC",E.O.L.,241.6,pharmacy
934,"Prime Packaging, Inc.",Australian Gold,363.12,medicine
935,"Nelco Laboratories, Inc.",Aspergillus flavus,809.13,medicine
936,"Ningbo Dowland Daily Health Co., Ltd",Antibacterial Hand Sanitizer,760.23,health
937,"Tom's of Maine, Inc.",Long-Lasting Wicked Fresh - Spearmint Ice,676.49,medicine
938,Guerlain,Fresh Umbrian Clay Freshface Foundation SPF 20 Fair Isle,794.48,health
939,REMEDYREPACK INC.,SEROQUEL,665.24,health
940,Jubilant HollisterStier LLC,"Food - Plant Source, Banana Musa sapientum",74.31,medicine
941,Pfizer Consumer Healthcare,CHILDRENS ADVIL,43.41,health
942,"Takeda Pharmaceuticals America, Inc.",Edarbyclor,432.01,health
943,"Western Family Foods, Inc.",Lansoprazole,507.44,medicine
944,"Pernix Therapeutics, LLC",Aldex D,779.64,health
945,"Epic Pharma, LLC",Nicardipine Hydrochloride,545.18,health
946,Cardinal Health,Klor-Con M20,145.05,medicine
947,Rebel Distributors Corp,Necon 0.5/35,307.77,pharmacy
948,Kmart Corporation,smart sense allergy,926.81,health
949,Major Pharmaceuticals,MAJOR Extra Strength Gas Relief,2.45,pharmacy
950,Cardinal Health,RISPERDAL,898.23,health
951,Sun Pharma Global FZE,Atomoxetine Hydrochloride,14.97,health
952,Akorn,COSOPT,778.73,medicine
953,"Nelco Laboratories, Inc.",Lombardy Poplar,555.19,pharmacy
954,Family Dollar Services Inc,Antibacterial Hand,706.2,pharmacy
955,Contract Pharmacy Services-PA,Gemfibrozil,121.2,medicine
956,Washington Homeopathic Products,Colds and Cough,998.44,health
957,"Watson Laboratories, Inc.",Desmopressin Acetate,854.96,medicine
958,Mylan Pharmaceuticals Inc.,Fenofibrate,834.38,pharmacy
959,"Changzhou Maokang Medical Products Co., Ltd",MK Alcohol Swabstick Sterile,87.99,pharmacy
960,Sun Pharmaceutical Industries Limited,Quinapril,133.06,health
961,"Arbor Pharmaceuticals, Inc.",E.E.S,853.26,health
962,Bryant Ranch Prepack,Lunesta,539.55,health
963,Procter and Gamble Manufacturing Company,Secret Clinical,616.14,medicine
964,Sandoz Inc,Cefdinir,371.28,pharmacy
965,Rij Pharmaceutical Corporation,Pink Bismuth Maximum Strength,817.1,pharmacy
966,REMEDYREPACK INC.,Metoprolol Tartrate,898.83,health
967,Meijer Distribution Inc,mucus and chest congestion,210.37,health
968,REMEDYREPACK INC.,Oxcarbazepine,277.55,pharmacy
969,"GREENBRIER INTERNATIONAL, INC.",Ibuprofen,547.68,pharmacy
970,Coty US LLC,Adidas,423.09,pharmacy
971,Mylan Pharmaceuticals Inc.,Gabapentin,225.02,medicine
972,"LG Household and Healthcare, Inc.",ISAKNOX AGELESS SERUM COMPACT 23,711.24,health
973,safeHands LLC,safeHands,926.89,medicine
974,Hyland's,Defend Cold and Cough Night,887.58,health
975,SHISEIDO AMERICA INC.,SHISEIDO RADIANT LIFTING FOUNDATION,806.49,health
976,Ventura Corporation LTD.,ALTHEUS,972.35,medicine
977,"Physicians Total Care, Inc.",Metronidazole,19.78,health
978,Dr.Reddy's Laboratories Limited,Pantoprazole,347.8,medicine
979,Cardinal Health,Tizanidine,731.25,health
980,"Aphena Pharma Solutions - Tennessee, LLC",diltiazem hydrochloride,504.02,pharmacy
981,Mylan Pharmaceuticals Inc.,Amlodipine and Benazepril Hydrochloride,150.51,medicine
982,Wockhardt USA LLC.,VALACYCLOVIR HYDROCHLORIDE,950.22,health
983,Bausch & Lomb Incorporated,Besivance,798.09,health
984,Mary Kay Inc.,Mary Kay CC Cream Sunscreen Broad Spectrum SPF 15 Light to Medium,704.31,health
985,Dr. Reddy's Laboratories Limited,Omeprazole,908.73,health
986,"Nelco Laboratories, Inc.",Leeks,387.95,medicine
987,Cardinal Health,Citalopram Hydrobromide,666.41,pharmacy
988,Dr. Reddy's Laboratories Limited,Risperidone,755.47,pharmacy
989,Roerig,Navane,8.49,pharmacy
990,King Bio Inc.,Vindictive,334.66,health
991,Cardinal Health,Finasteride,76.94,pharmacy
992,"Roberts Oxygen Company, Inc.",Carbon Dioxide-Oxygen Mixture,538.34,medicine
993,DZA Brands LLC,healthy accents daytime nighttime,277.16,medicine
994,"DermaRite Industries, LLC",RENEW BODY CLEANSER,580.96,health
995,CVS,Night Time Cherry,306.65,health
996,USPharmaCo,Cereus,29.91,pharmacy
997,"NCS HealthCare of KY, Inc dba Vangard Labs",Senna Plus,443.34,pharmacy
998,"Ascend Laboratories, LLC",Cephalexin,200.14,medicine
999,Centrix Pharmaceutical,Dicel,316.14,health
1000,"Synergy Formulas, Inc.",Bacsode,268.38,medicine
